GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width,label,mean_s_simulation__speedup__V100_SXM2_CUDA_11.8
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,592704,84.000000,2.000000,1.000000,592704.000000,0.000000,395.891113,0.000000,0.000000,1.979416,592704.000000,2.380952,A100 SXM4 CUDA 11.8,1.212115
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,704969,89.000000,2.000000,1.000000,704969.000000,0.000000,528.642029,0.000000,0.000000,2.643177,704969.000000,2.247191,A100 SXM4 CUDA 11.8,1.295811
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,804357,93.000000,2.000000,1.000000,804357.000000,0.000000,668.127360,0.000000,0.000000,3.340604,804357.000000,2.150538,A100 SXM4 CUDA 11.8,1.364119
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,912673,97.000000,2.000000,1.000000,912673.000000,0.000000,883.962097,0.000000,0.000000,4.419776,912673.000000,2.061856,A100 SXM4 CUDA 11.8,1.336972
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce,200,1000000,100.000000,2.000000,1.000000,1000000.000000,0.000000,1071.346924,0.000000,0.000000,5.356700,1000000.000000,2.000000,A100 SXM4 CUDA 11.8,1.359705
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,10648,22.000000,2.000000,1.000000,10648.000000,1.719667,0.724372,0.000000,0.000000,0.003607,10648.000000,9.090909,A100 SXM4 CUDA 11.8,0.800656
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,19683,27.000000,2.000000,1.000000,19683.000000,0.009667,1.221669,0.000000,0.000000,0.006093,19683.000000,7.407407,A100 SXM4 CUDA 11.8,0.792722
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,29791,31.000000,2.000000,1.000000,29791.000000,0.009667,1.795371,0.000000,0.000000,0.008961,29791.000000,6.451613,A100 SXM4 CUDA 11.8,0.794726
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,39304,34.000000,2.000000,1.000000,39304.000000,0.009667,2.341252,0.000000,0.000000,0.011691,39304.000000,5.882353,A100 SXM4 CUDA 11.8,0.799020
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,50653,37.000000,2.000000,1.000000,50653.000000,0.010333,3.002915,0.000000,0.000000,0.014999,50653.000000,5.405405,A100 SXM4 CUDA 11.8,0.799324
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,59319,39.000000,2.000000,1.000000,59319.000000,0.009667,3.509449,0.000000,0.000000,0.017531,59319.000000,5.128205,A100 SXM4 CUDA 11.8,0.798436
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,68921,41.000000,2.000000,1.000000,68921.000000,0.009667,4.072528,0.000000,0.000000,0.020347,68921.000000,4.878049,A100 SXM4 CUDA 11.8,1.271169
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,79507,43.000000,2.000000,1.000000,79507.000000,0.009333,4.692807,0.000000,0.000000,0.023448,79507.000000,4.651163,A100 SXM4 CUDA 11.8,1.259686
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,91125,45.000000,2.000000,1.000000,91125.000000,0.009667,9.722765,0.000000,0.000000,0.048597,91125.000000,4.444444,A100 SXM4 CUDA 11.8,0.696636
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,97336,46.000000,2.000000,1.000000,97336.000000,0.009667,10.399282,0.000000,0.000000,0.051980,97336.000000,4.347826,A100 SXM4 CUDA 11.8,0.694971
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,195112,58.000000,2.000000,1.000000,195112.000000,0.010000,30.444528,0.000000,0.000000,0.152205,195112.000000,3.448276,A100 SXM4 CUDA 11.8,0.955704
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,300763,67.000000,2.000000,1.000000,300763.000000,0.011667,61.925988,0.000000,0.000000,0.309611,300763.000000,2.985075,A100 SXM4 CUDA 11.8,1.085792
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,405224,74.000000,2.000000,1.000000,405224.000000,0.011667,103.533089,0.000000,0.000000,0.517645,405224.000000,2.702703,A100 SXM4 CUDA 11.8,1.163650
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,493039,79.000000,2.000000,1.000000,493039.000000,0.011333,150.170552,0.000000,0.000000,0.750831,493039.000000,2.531646,A100 SXM4 CUDA 11.8,1.143801
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,592704,84.000000,2.000000,1.000000,592704.000000,0.012333,238.823965,0.000000,0.000000,1.194095,592704.000000,2.380952,A100 SXM4 CUDA 11.8,0.923891
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,704969,89.000000,2.000000,1.000000,704969.000000,0.013667,321.166270,0.000000,0.000000,1.605804,704969.000000,2.247191,A100 SXM4 CUDA 11.8,0.980846
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,804357,93.000000,2.000000,1.000000,804357.000000,0.014000,403.019592,0.000000,0.000000,2.015068,804357.000000,2.150538,A100 SXM4 CUDA 11.8,1.040509
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,912673,97.000000,2.000000,1.000000,912673.000000,0.015000,532.876974,0.000000,0.000000,2.664352,912673.000000,2.061856,A100 SXM4 CUDA 11.8,1.019653
NVIDIA A100-SXM4-80GB,1,1,circles_bruteforce_rtc,200,1000000,100.000000,2.000000,1.000000,1000000.000000,0.014000,648.341268,0.000000,0.000000,3.241673,1000000.000000,2.000000,A100 SXM4 CUDA 11.8,1.031471
