GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,ms_rtc,ms_simulation,ms_init,ms_exit,ms_step_mean
TITAN V,1,0,circles_spatial3D,100,206763,41.000,2.000,0,3.000,560.637,0.003,1317.620,0.002,0.033,13.168
TITAN V,1,0,circles_spatial3D,100,206763,41.000,2.000,1,3.000,560.464,0.003,1310.944,0.002,0.040,13.101
TITAN V,1,0,circles_spatial3D,100,206763,41.000,2.000,2,3.000,561.829,0.003,1319.580,0.002,0.041,13.188
TITAN V,1,0,circles_spatial3D_rtc,100,206763,41.000,2.000,0,3.000,560.637,7.860,1074.733,0.002,0.088,10.739
TITAN V,1,0,circles_spatial3D_rtc,100,206763,41.000,2.000,1,3.000,560.464,7.865,1065.591,0.002,0.035,10.648
TITAN V,1,0,circles_spatial3D_rtc,100,206763,41.000,2.000,2,3.000,561.829,7.944,1067.087,0.002,0.043,10.663
TITAN V,1,0,circles_spatial3D,100,275684,41.000,2.000,0,4.000,747.907,0.002,2325.097,0.002,0.077,23.242
TITAN V,1,0,circles_spatial3D,100,275684,41.000,2.000,1,4.000,747.071,0.003,2318.606,0.002,0.038,23.178
TITAN V,1,0,circles_spatial3D,100,275684,41.000,2.000,2,4.000,748.846,0.003,2327.823,0.002,0.042,23.270
TITAN V,1,0,circles_spatial3D_rtc,100,275684,41.000,2.000,0,4.000,747.907,8.184,1496.416,0.002,0.039,14.956
TITAN V,1,0,circles_spatial3D_rtc,100,275684,41.000,2.000,1,4.000,747.071,7.958,1495.672,0.002,0.036,14.948
TITAN V,1,0,circles_spatial3D_rtc,100,275684,41.000,2.000,2,4.000,748.846,7.880,1498.500,0.002,0.044,14.977
TITAN V,1,0,circles_spatial3D,100,79507,43.000,2.000,0,1.000,188.840,0.002,274.453,0.002,0.037,2.737
TITAN V,1,0,circles_spatial3D,100,79507,43.000,2.000,1,1.000,189.416,0.002,266.779,0.002,0.037,2.660
